7175,4528,212,9,5740,0.0419
6854,854,145,6,5483,0.87677
2725,984,201,7,2180,0.49373
4309,1287,222,9,3447,0.62148
2939,1926,134,6,2351,0.02776
6587,2525,148,8,5269,0.49171
9120,6134,164,6,7296,0.01061
8733,3329,209,9,6986,0.46191
6099,1643,61,9,4879,0.79429
4776,3398,220,6,3820,0.00028
3866,538,63,9,3092,0.95365
9069,9000,233,8,7255,0
5813,4318,200,8,4650,2.00E-05
3024,1597,227,8,2419,0.19377
2919,1161,219,8,2335,0.449
3885,3669,183,9,3108,0
7816,2536,57,7,6252,0.67018
6652,1210,103,6,5321,0.82196
5929,4598,242,6,4743,0
1107,281,151,9,885,0.73961
2100,1947,226,9,1680,0
277,256,136,6,221,0
1407,1285,223,9,1125,0
4016,255,204,7,3212,0.94944
8019,4695,64,9,6415,0.20613
5074,600,228,7,4059,0.89713
3774,1859,200,6,3019,0.24065
9502,5268,92,7,7601,0.2069
1247,937,223,9,997,1.00E-05
4515,913,154,7,3612,0.79845
7239,5757,230,6,5791,0
924,327,58,8,739,0.62048
9859,2638,232,9,7887,0.70343
9711,8626,170,7,7768,0
9362,6196,188,7,7489,0.01495
5893,5771,149,6,4714,0
8483,3140,113,9,6786,0.53798
2967,586,242,7,2373,0.76545
2802,1682,163,7,2241,0.08542
9749,2838,238,8,7799,0.63803
9376,2056,180,9,7500,0.79069
2388,1542,241,9,1910,0.0225
1295,460,195,9,1036,0.54408
3772,2816,248,9,3017,0
3823,2718,197,7,3058,0.0007
8823,892,191,6,7058,0.89742
4811,3685,164,7,3848,0
6361,4788,210,6,5088,0
3262,1935,138,9,2609,0.12572
9940,2477,101,6,7952,0.73451
2334,1311,151,6,1867,0.14546
4800,741,51,9,3840,0.95351
2445,403,104,6,1956,0.84967
4436,4149,180,8,3548,0
2778,2118,236,9,2222,0
4127,3416,232,7,3301,0
2868,710,153,9,2294,0.75781
5474,775,96,9,4379,0.93876
6640,885,85,6,5312,0.88997
1838,1391,231,7,1470,0
5902,2003,216,8,4721,0.54326
1515,727,62,9,1212,0.39645
9892,3751,94,6,7913,0.5239
1279,686,166,6,1023,0.18211
8557,1756,73,9,6845,0.86046
2987,1703,65,9,2389,0.21935
9201,1758,133,9,7360,0.85164
6566,2582,85,7,5252,0.50438
9719,2773,198,9,7775,0.6742
3713,3653,152,7,2970,0
9255,3126,209,8,7404,0.54663
757,696,206,9,605,0
8164,4219,68,8,6531,0.31524
4628,723,76,9,3702,0.93847
8907,3418,143,8,7125,0.46988
2643,2018,176,7,2114,0
4407,1772,205,9,3525,0.45348
2768,1643,210,6,2214,0.07452
8982,5485,213,8,7185,0.06234
7942,553,235,7,6353,0.94282
310,283,234,9,248,0
2899,2018,179,9,2319,0.0033
9149,8877,129,7,7319,0
3300,260,211,7,2640,0.93392
5604,1360,115,6,4483,0.70157
3112,1785,207,7,2489,0.11521
5791,2739,161,9,4632,0.32463
3494,1559,151,6,2795,0.34579
7643,344,140,7,6114,0.97547
7761,6015,56,9,6208,0.00064
6566,6516,178,6,5252,0
8818,1976,96,9,7054,0.80177
427,341,187,7,341,0
2515,747,237,9,2012,0.63024
5288,3378,170,6,4230,0.03449
4800,3633,176,8,3840,1.00E-05
3881,2778,240,9,3104,0.00027
7887,7478,115,8,6309,0
8457,6705,115,9,6765,0
833,695,59,7,666,0
2992,355,143,9,2393,0.94505
3896,2287,238,6,3116,0.08152
3023,1122,67,8,2418,0.57187
6654,6496,230,7,5323,0
6616,2775,242,7,5292,0.37338
8644,1108,56,7,6915,0.94295
5669,919,106,6,4535,0.84127
6411,1894,193,7,5128,0.62526
2637,1912,239,9,2109,7.00E-05
4997,1492,181,6,3997,0.58324
887,318,152,9,709,0.54922
4965,3403,227,6,3972,0.00256
3464,3318,224,6,2771,0
8198,2911,161,6,6558,0.49885
2192,548,184,9,1753,0.72922
2540,581,65,8,2032,0.82813
8420,1705,117,8,6736,0.81726
4625,1950,233,8,3700,0.40259
6739,5161,187,6,5391,0
1522,290,52,8,1217,0.90297
5104,1975,194,6,4083,0.43512
7757,2372,247,8,6205,0.61907
7473,3637,140,9,5978,0.32708
6060,3353,179,9,4848,0.18268
621,584,96,7,496,0
9047,8639,96,6,7237,0
5228,3955,76,8,4182,0.00069
1764,1305,167,8,1411,5.00E-05
2459,1566,125,6,1967,0.04815
9550,5108,154,6,7640,0.19035
6208,1028,127,9,4966,0.90608
1145,958,79,9,916,0
3634,866,121,9,2907,0.78023
1550,1229,77,8,1240,1.00E-05
3869,1745,191,9,3095,0.37115
4005,1012,167,9,3204,0.73827
1019,339,102,9,815,0.62932
1684,828,71,8,1347,0.35407
5454,2762,151,6,4363,0.24
1045,816,156,7,836,0
5311,3610,177,7,4248,0.00802
4781,3385,90,6,3824,0.00674
8707,4661,68,9,6965,0.2683
8726,3202,154,6,6980,0.44968
3820,3320,99,9,3056,0
2811,273,202,6,2248,0.89365
4638,3060,167,9,3710,0.02329
294,253,88,9,235,0
8568,8207,142,7,6854,0
9407,5493,148,9,7525,0.1357
3010,899,165,9,2408,0.64807
8066,6844,128,9,6452,0
7154,2642,51,7,5723,0.57745
